temp,hum,press,datetime
32.97715759277344,29.17320442199707,1014.466552734375,2020-11-21 02:08:07.857471
33.03474044799805,29.180124282836914,1014.491455078125,2020-11-21 02:08:09.859068
32.99635314941406,29.176664352416992,1014.490234375,2020-11-21 02:08:11.862197
33.01554489135742,29.176664352416992,1014.486328125,2020-11-21 02:08:13.862764
33.03474044799805,29.180124282836914,1014.51513671875,2020-11-21 02:08:15.867196
33.053932189941406,29.18358612060547,1014.493408203125,2020-11-21 02:08:17.868730
33.18829345703125,29.204347610473633,1014.50146484375,2020-11-21 02:08:19.869245
32.97715759277344,29.17320442199707,1014.485595703125,2020-11-21 02:08:21.871396
32.99635314941406,29.176664352416992,1014.489990234375,2020-11-21 02:08:23.872609
32.97715759277344,29.17320442199707,1014.495849609375,2020-11-21 02:08:25.873458
33.053932189941406,29.18358612060547,1014.510009765625,2020-11-21 02:08:27.875061
33.07312774658203,29.18704605102539,1014.50244140625,2020-11-21 02:08:29.877398
33.07312774658203,29.18704605102539,1014.48583984375,2020-11-21 02:08:31.878990
32.93877029418945,29.166282653808594,1014.49951171875,2020-11-21 02:08:33.881131
